p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
64,100,#pragma clang loop unrolling full, ,2,128,160,disabled,cores,30.95401,1560.79806886835,281.62280583381647
64,100, , ,64,64,100,balanced,cores,29.65375,1577.5567861689751,561.6446325778961
64,100, , ,256,96,200,disabled,sockets,29.460685,1580.558435045254,846.6444778442383
48,100,#pragma clang loop unrolling full, ,96,32,200,disabled,cores,28.36111,1633.685437470023,1135.4591908454895
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,200,disabled,sockets,18.64622,1651.5517408736505,1332.926583528519
32,1280, , ,128,32,160,disabled,sockets,32.06264,1657.1695172014429,1620.4474396705627
32,100, , ,96,64,80,compact,sockets,28.945385,1714.529448000755,1906.1222882270813
32,100,#pragma clang loop unrolling full, ,128,64,200,compact,sockets,28.911955,1735.7095892127538,2193.0238361358647
48,100, ,#pragma omp parallel for,32,4,160,balanced,sockets,23.00009,1743.8213720487588,2429.9247834682465
64,100, , ,64,256,10,disabled,sockets,29.40681,1774.0659915139056,2710.2428193092346
64,640, , ,96,4,64,disabled,sockets,22.506345,1809.1874149318248,2946.9482867717743
32,100, ,#pragma omp parallel for,128,8,10,disabled,sockets,28.243535,1828.8850796401368,3228.461301088333
48,100,#pragma clang loop unrolling full, ,4,4,100,disabled,sockets,32.20635,1845.627323701084,3524.3376817703247
32,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,10,disabled,threads,27.40331,1852.040144478432,3800.734541416168
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,64,compact,sockets,20.50906,1853.0620646380355,4001.154863834381
32,100, , ,8,256,128,compact,threads,28.916275,1855.7526520268973,4285.544759035111
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,128,balanced,sockets,26.05606,1874.5493175077347,4539.623443126679
32,100, ,#pragma omp parallel for,64,32,100,explicit,cores,29.33171,1919.209167820972,4824.729599952698
48,100, , ,96,128,200,compact,cores,22.296635,1926.20675858492,5038.937631607057
64,100, , ,32,64,100,balanced,cores,29.700725,1939.2893026060208,5319.346514701843
48,100,#pragma clang loop unrolling full, ,8,64,200,balanced,threads,26.846145,1951.3795164838864,5588.541042804718
32,100, , ,32,32,160,compact,threads,26.196935,1958.7745014894736,5850.563907623291
64,100, , ,4,32,128,disabled,threads,30.19742,1962.0072630352872,6137.029339075089
48,100, , ,256,64,64,disabled,sockets,32.09265499999999,1990.606134154205,6436.4335391521445
32,100,#pragma clang loop unrolling full, ,32,16,200,disabled,threads,32.033655,1995.8076102535945,6737.538540363312
48,100, , ,32,64,64,explicit,sockets,29.60513,2006.7841812414383,7024.944267511369
64,100, , ,256,64,128,disabled,threads,28.862715,2014.8104660972629,7306.755025386809
64,100,#pragma clang loop unrolling full, ,8,64,128,balanced,sockets,29.64636,2016.3093142394823,7587.528445482253
64,100, , ,256,32,100,compact,sockets,20.00714,2020.717949828012,7782.649887323379
32,100,#pragma clang loop unrolling full, ,64,256,100,explicit,cores,31.790875,2024.9181610509115,8077.932697057725
64,100, ,#pragma omp parallel for,2,96,80,explicit,sockets,27.860660000000006,2047.8515253248768,8346.747524499893
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,200,balanced,sockets,19.102175,2054.978084362068,8551.647277593613
32,100, , ,2,32,10,balanced,threads,31.94238,2057.777975105737,8851.7465903759
32,100, , ,8,256,64,disabled,cores,31.842535,2063.638557059848,9146.632124900818
64,100,#pragma clang loop unrolling full, ,4,128,200,disabled,threads,29.3679,2063.913767104465,9436.367779493332
64,100, , ,32,64,64,compact,sockets,19.86578,2077.8973324395047,9630.834793567656
64,100,#pragma clang loop unrolling full, ,4,4,80,compact,cores,18.919175000000006,2078.7524544430407,9829.46042394638
48,100,#pragma clang loop unrolling full, ,32,64,40,scatter,threads,22.201065,2082.5865234728926,10052.635584115982
64,100, , ,64,2,100,disabled,sockets,29.44068,2085.4707913157185,10344.826703310013
48,100, ,#pragma omp parallel for,16,4,10,scatter,sockets,18.038635,2092.699988440237,10521.032552719116
32,100, , ,256,64,128,compact,sockets,27.44065,2097.8762090604628,10787.72363114357
32,100, , ,4,64,128,balanced,cores,31.713995,2099.0364618311987,11085.731515169144
48,100,#pragma clang loop unrolling full, ,256,64,160,compact,sockets,22.759475,2101.5320539851077,11309.118907213213
32,100, , ,256,4,64,disabled,sockets,31.84505,2104.017609001077,11607.537858247755
48,100, , ,4,8,20,disabled,sockets,32.00141,2107.2312806856967,11909.253407955171
48,100,#pragma clang loop unrolling full, ,96,96,64,disabled,sockets,29.86838,2114.387537879808,12200.865011692047
32,100, ,#pragma omp parallel for,16,32,160,disabled,sockets,28.932360000000006,2117.309068680732,12482.831304311752
48,100,#pragma clang loop unrolling full, ,32,32,10,disabled,threads,29.29491,2118.7157985987164,12773.358327627182
48,100, , ,16,2,20,compact,threads,21.15559,2120.2640639493416,12991.754632711409
64,100,#pragma clang loop unrolling full, ,256,32,128,compact,cores,18.74655,2126.086416023669,13178.831433534622
32,100, , ,96,16,160,compact,sockets,31.26277,2131.615052807369,13472.863248586656
32,100,#pragma clang loop unrolling full, ,32,256,40,compact,threads,31.1938,2133.4834402684774,13767.66185450554
32,100, , ,128,96,128,compact,sockets,31.198945,2134.042593352543,14061.4714949131
64,100, ,#pragma omp parallel for,16,4,128,disabled,sockets,22.059815,2144.20909555041,14292.92630147934
64,100, , ,128,256,20,disabled,threads,29.34803,2144.227531376553,14577.448245525358
48,100, , ,16,256,80,balanced,sockets,28.19621,2147.028927279913,14844.143521547318
32,100, , ,96,256,80,none,sockets,31.95109,2149.166218531041,15145.335489511492
48,100, , ,128,32,20,disabled,sockets,29.647305,2163.234851935328,15439.544039726256
64,100, ,#pragma omp parallel for,16,4,160,compact,sockets,17.45091,2175.170033929856,15615.654179096224
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,80,compact,threads,21.29704,2176.4737536991424,15821.656024217606
64,200, , ,256,256,100,balanced,cores,29.632995,2176.758848423002,16101.345046043396
48,100, , ,96,32,200,compact,sockets,21.2326,2177.33597436558,16314.073518276216
64,100, ,#pragma omp parallel for,128,8,128,disabled,threads,20.05292,2179.7853498694235,16544.935357093807
64,100, , ,256,256,100,compact,sockets,19.855415,2180.231805203969,16749.04338264465
64,100, ,#pragma omp parallel for,64,4,100,compact,cores,17.745929999999998,2183.331774037897,16926.25358080864
64,100, ,#pragma omp parallel for,64,256,200,disabled,cores,22.797385,2185.484522691737,17153.139388322834
64,100,#pragma clang loop unrolling full, ,96,2,160,none,sockets,29.141895,2193.8465079911693,17436.828748226166
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,160,scatter,threads,24.04333,2198.103693514634,17675.65474176407
32,100, , ,256,32,80,disabled,cores,31.855295,2198.5968059680977,17976.547448158264
64,100, ,#pragma omp parallel for,32,256,40,disabled,sockets,22.217475,2199.972553467097,18202.66530776024
32,100,#pragma clang loop unrolling full, ,32,64,100,disabled,sockets,31.90127,2205.45576005749,18503.16548848152
64,100, , ,4,2,10,compact,threads,19.301085,2206.795331137629,18693.832407236103
64,100, , ,96,32,64,compact,sockets,18.76385,2209.299406916745,18882.861834049225
32,100, , ,16,8,10,compact,sockets,28.922575,2209.596834749024,19159.05564427376
32,100, ,#pragma omp parallel for,64,32,80,disabled,sockets,26.08115500000001,2211.186958696309,19428.93112206459
32,100, , ,64,64,10,explicit,threads,31.751075,2211.223306616396,19729.522201776505
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,200,none,sockets,24.141645,2212.8736258174213,19973.651148557663
64,100,#pragma clang loop unrolling full, ,32,4,128,compact,sockets,19.49921,2215.140300087119,20177.659389972687
48,100, ,#pragma omp parallel for,256,16,128,compact,sockets,20.56663,2229.440353722754,20384.15691256523
32,100, , ,2,256,160,disabled,sockets,31.952815,2229.751131364567,20684.54909706116
64,100, , ,4,4,40,balanced,cores,29.6507,2236.1145102601267,20964.3479821682
