objective,p0,p1,p2,p3,p4,p5
16.811580333333335, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,256
14.944291666666667, , , ,16,8,256
22.09048183333333, , , ,16,8,128
28.43662516666667, , , ,16,32,80
17.451708333333332, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,256
14.506837166666665, , , ,16,20,256
28.115257166666666, , , ,8,32,80
29.520539833333334, , , ,100,32,100
20.386414, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,16,256
20.46752933333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,256
31.03744233333333, , , ,16,32,20
20.622929833333334,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,32,256
14.514498833333333, , , ,8,32,256
15.244543499999999, , , ,16,4,256
20.465565333333334,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,32,256
29.762359333333336, , , ,16,32,64
14.570662500000003, , , ,16,2048,256
35.87351066666667, , , ,16,32,8
31.146485833333333, , , ,16,32,16
15.789991833333334, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256
15.419456000000002, , , ,128,128,256
15.175650000000003, , , ,50,4,256
20.377031166666665, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,32,256
30.818879166666665, , , ,16,128,64
14.632293166666669, , , ,32,32,256
14.695676333333331, , , ,96,32,256
14.8395405, , , ,128,32,256
14.615990000000002, , , ,50,32,256
27.730919166666666, , , ,16,32,100
26.522036666666665,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,32,256
32.36600816666667, , , ,16,2048,20
22.552974833333334, , , ,16,50,128
14.673268166666666, , , ,16,80,256
14.839461333333333, , , ,64,80,256
37.73335633333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,50
30.119694, , , ,128,32,32
32.58338666666666, , , ,16,32,4
38.51292316666667, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,4
29.14420683333333, , , ,16,32,32
16.8769625, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,256
38.53603533333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,32,32
15.760226166666667, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,256
55.22757333333334,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,32,16
20.899452, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,8,256
27.593511999999993,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,2048,256
20.4934635, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,32,256
20.675478499999997, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,50,256
21.759290499999995,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,4,256
32.14612366666666,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,256
